# Residuals   
# Time        	p             	Ux            	Uy            
6.04886       	1.587557e-03	1.372636e-04	1.154027e-04
6.05          	1.635608e-03	1.373407e-04	1.154127e-04
6.05114       	1.710151e-03	1.371567e-04	1.154932e-04
6.05227       	1.557188e-03	1.371902e-04	1.155387e-04
6.05341       	1.488546e-03	1.371108e-04	1.156051e-04
6.05455       	1.515707e-03	1.370922e-04	1.156368e-04
6.05568       	1.655399e-03	1.371816e-04	1.155713e-04
6.05682       	1.530261e-03	1.371711e-04	1.156880e-04
6.05795       	1.597059e-03	1.373199e-04	1.158548e-04
6.05909       	1.717700e-03	1.372245e-04	1.162967e-04
6.06023       	1.603311e-03	1.371912e-04	1.164213e-04
6.06136       	1.554738e-03	1.371131e-04	1.163908e-04
6.0625        	1.579587e-03	1.371514e-04	1.158512e-04
6.06364       	1.536754e-03	1.370895e-04	1.157664e-04
6.06477       	1.595898e-03	1.370317e-04	1.157741e-04
6.06591       	1.559055e-03	1.369315e-04	1.157367e-04
6.06705       	1.603804e-03	1.368179e-04	1.157871e-04
6.06818       	1.542595e-03	1.366781e-04	1.156595e-04
6.06932       	1.668333e-03	1.365970e-04	1.156139e-04
6.07045       	1.869582e-03	1.364315e-04	1.157546e-04
6.07159       	1.478610e-03	1.361872e-04	1.158264e-04
6.07273       	1.978816e-03	1.360964e-04	1.160731e-04
6.07386       	2.285271e-03	1.373682e-04	1.162806e-04
6.075         	1.981513e-03	1.389446e-04	1.163873e-04
6.07614       	1.696341e-03	1.398206e-04	1.164277e-04
6.07727       	1.720129e-03	1.396955e-04	1.160997e-04
6.07841       	1.640747e-03	1.391128e-04	1.161522e-04
6.07955       	1.648216e-03	1.385214e-04	1.160024e-04
6.08068       	1.599254e-03	1.381108e-04	1.160568e-04
6.08182       	1.606932e-03	1.376640e-04	1.159643e-04
6.08295       	1.594656e-03	1.373830e-04	1.160038e-04
6.08409       	1.842549e-03	1.374324e-04	1.160588e-04
6.08523       	1.655437e-03	1.372431e-04	1.159878e-04
